GeneSymbol	T15	T17	T18	T20	T3	T34	T39	T4	T40	T10	T11	T12	T27	T28	T30	T35	T36	T37	T38	T5	T6	T7	T8	T9
A1BG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASCL5	1	1	1.02449154711578	1	1	1	1	1.36221647367558	1	1.06622758890089	1.23233140107074	1.09860022679054	1	1.04517523469125	1.59274244030361	1	1	1.70779130499556	1	1	1	1	1	1
ASF1A	23.7927851633191	4.72908050255913	31.7944425105809	48.5382325483762	36.7281867038437	40.7588429453567	21.1830106452505	46.5795825437048	18.1010709917033	33.629294377752	26.0790487228728	41.9211472632225	8.00654081332719	14.1257751919879	37.0297788376917	10.7915579851179	10.7868883330265	47.2596970606665	7.13013733970354	13.970316751595	11.2495162356721	31.875556770871	9.66759874343005	6.85088076181034
ASF1B	17.1629037121697	2.62822503589013	14.6712463955713	18.5023349574476	19.7373835355877	12.23132010721	2.88086715845037	20.9520075317898	2.63597422223949	8.65290219540434	10.468435063243	13.2490206859662	5.77268298940304	1.68583279106509	17.0948769361258	2.1793855567927	1.20389039413214	15.0124701360117	3.75949295850183	3.85690451407031	3.04404906875634	6.56274620894086	8.96582190765906	1.3914978180507
ASGR1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASGR2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASH1L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASH2L	33.284751105718	11.3954245091126	8.34194486042172	51.4266150168449	17.7404451086227	15.0095403610349	14.1981135615331	46.6146833480846	44.0797103668346	40.9928073517263	32.7255481708731	35.4962380408645	11.0814012651071	7.97537017932848	21.1200375832417	15.1398829187159	12.7002978130922	37.207887086958	11.0288498280194	15.3499068835395	23.3623211049809	20.8273481237309	7.97537017932848	12.952521677749
ASIC1	7.18205176731996	1	3.04664712076026	2.65000165264674	7.45633027275432	1.48638561584128	2.69743937979962	11.6425745605393	1.395958829287	7.76254895431355	7.13382985140043	2.07491747839392	1.22337002897599	3.76645856989225	2.30369225757907	1	1.09515316046852	8.35326615234224	1.83910698608091	7.48817521588892	1.41155161330528	1.82799593485329	1	7.28260967799765
ASIC3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASIC4	1	1	1	1	1	1	1	1	1	1	1	1	1	1.10660056519487	1	1	1	1.01196129629564	1	1	1	1	1	1
ASIP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASMT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
